EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
345,37,No,Travel_Frequently,Research & Development,4,1,Marketing,4,Female,4,3,Manager,4,Married,135425,8,No,13,3,4,0,19,2,3,7,0,0,1
346,31,No,Travel_Rarely,Sales,25,5,Technical Degree,1,Male,3,4,Manager,3,Married,129444,9,Yes,23,3,3,0,13,0,2,1,1,1,1
347,24,No,Non-Travel,Research & Development,15,1,Life Sciences,1,Female,4,4,Research Director,3,Single,128753,7,Yes,24,3,4,1,6,2,4,6,1,0,2
348,34,No,Travel_Frequently,Research & Development,28,2,Human Resources,3,Female,3,2,Laboratory Technician,2,Single,78717,8,No,18,3,3,0,16,4,4,11,3,1,1
349,35,Yes,Travel_Frequently,Research & Development,11,4,Life Sciences,1,Female,3,3,Manager,2,Married,120070,9,No,23,4,2,3,17,0,3,0,0,0,0
350,46,No,Travel_Frequently,Sales,28,4,Human Resources,1,Male,2,1,Sales Executive,2,Divorced,70319,8,Yes,11,3,4,0,28,2,3,4,4,4,0
351,30,No,Travel_Rarely,Research & Development,14,2,Technical Degree,1,Female,3,2,Healthcare Representative,2,Divorced,67294,5,No,20,3,4,2,12,1,3,3,2,3,3
352,22,No,Travel_Frequently,Sales,17,4,Technical Degree,2,Female,4,5,Sales Executive,3,Single,163425,5,Yes,12,3,1,2,4,2,4,12,12,3,0
353,32,No,Non-Travel,Sales,6,5,Technical Degree,3,Female,3,3,Sales Representative,2,Single,112201,0,No,22,3,3,3,14,5,3,2,0,1,2
354,34,Yes,Travel_Frequently,Research & Development,28,1,Other,1,Female,3,5,Manager,4,Single,136632,4,No,17,3,3,0,16,6,2,4,1,0,2
355,35,No,Travel_Rarely,Sales,7,2,Marketing,2,Male,3,2,Manager,1,Single,91152,6,No,21,4,4,0,17,3,2,0,0,0,0
356,27,No,Travel_Rarely,Research & Development,3,4,Other,1,Male,3,5,Laboratory Technician,3,Single,171163,6,No,21,3,1,0,9,2,4,6,0,2,6
357,45,No,Travel_Frequently,Human Resources,6,2,Marketing,2,Female,3,4,Manager,2,Married,134306,3,No,14,3,3,0,27,3,4,9,0,4,0
358,26,Yes,Non-Travel,Research & Development,29,5,Life Sciences,4,Male,4,2,Healthcare Representative,3,Divorced,91628,5,No,15,3,4,2,8,6,4,0,0,0,0
359,32,No,Travel_Rarely,Human Resources,13,3,Marketing,4,Female,2,2,Human Resources,2,Single,91392,7,No,11,4,4,0,14,3,3,0,0,0,0
360,45,Yes,Non-Travel,Sales,11,4,Life Sciences,3,Female,4,4,Sales Representative,4,Single,136407,7,No,17,4,4,0,27,5,1,8,2,2,1
361,46,No,Travel_Rarely,Research & Development,19,1,Life Sciences,1,Female,4,2,Manager,1,Single,79940,6,Yes,21,3,3,1,28,1,3,4,4,3,4
362,35,Yes,Travel_Rarely,Research & Development,6,4,Technical Degree,3,Female,3,3,Laboratory Technician,2,Divorced,122162,4,No,12,3,2,0,17,1,4,2,2,0,2
363,46,No,Non-Travel,Research & Development,6,5,Life Sciences,2,Male,3,4,Research Director,4,Single,146900,4,No,12,4,2,1,28,1,4,3,0,1,0
364,34,No,Travel_Rarely,Human Resources,27,3,Other,4,Male,4,1,Manager,2,Divorced,81694,6,No,14,3,2,1,16,6,4,1,0,1,1
365,31,Yes,Non-Travel,Sales,23,4,Other,2,Female,2,1,Sales Representative,3,Married,66861,5,No,17,3,3,1,13,5,3,3,1,2,3
366,25,No,Travel_Frequently,Research & Development,13,3,Technical Degree,3,Female,4,5,Research Scientist,3,Divorced,141113,0,No,15,3,4,0,7,0,3,30,2,2,0
367,32,No,Travel_Frequently,Sales,5,4,Marketing,3,Female,4,1,Sales Executive,3,Divorced,69783,4,No,16,3,1,3,14,0,3,4,4,0,0
368,36,No,Travel_Frequently,Research & Development,8,2,Life Sciences,2,Female,4,2,Research Director,3,Married,84449,7,No,14,3,3,0,18,0,4,1,0,1,1
369,42,No,Travel_Frequently,Sales,6,2,Other,3,Male,4,2,Sales Representative,4,Divorced,85567,5,Yes,14,4,2,1,24,0,3,0,0,0,0
370,47,No,Travel_Rarely,Sales,4,3,Medical,4,Male,1,2,Sales Executive,1,Single,95544,1,No,16,3,4,1,29,3,3,28,1,6,1
371,22,No,Non-Travel,Research & Development,26,3,Marketing,4,Female,3,2,Manager,1,Single,73098,9,No,14,4,4,0,4,1,3,5,0,1,3
372,42,No,Travel_Frequently,Research & Development,5,1,Marketing,4,Female,2,1,Manufacturing Director,4,Married,77512,4,No,23,4,4,2,24,5,1,4,1,0,0
373,35,Yes,Non-Travel,Human Resources,12,5,Medical,3,Female,3,3,Human Resources,4,Married,102918,6,No,23,3,4,1,17,0,3,2,2,1,1
374,27,Yes,Travel_Frequently,Sales,5,3,Medical,4,Male,2,3,Sales Representative,4,Divorced,113588,1,No,18,3,3,0,9,6,3,4,3,1,2
375,46,No,Travel_Rarely,Sales,15,2,Medical,3,Male,3,2,Sales Executive,3,Married,119375,8,No,12,3,4,0,28,0,4,6,0,1,0
376,60,Yes,Travel_Rarely,Sales,22,1,Technical Degree,4,Female,4,3,Manager,3,Divorced,87455,1,Yes,20,3,4,0,42,5,3,1,1,1,1
377,46,Yes,Travel_Rarely,Sales,22,4,Marketing,4,Female,3,3,Sales Representative,4,Single,111469,5,No,21,4,3,0,28,5,3,0,0,0,0
378,42,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,4,Manager,2,Single,124455,3,No,15,3,3,0,24,0,3,20,0,1,15
379,47,No,Non-Travel,Research & Development,14,4,Other,2,Female,3,1,Manufacturing Director,3,Divorced,69229,1,Yes,24,3,4,2,29,5,3,6,1,0,0
380,31,No,Travel_Frequently,Sales,3,3,Other,4,Female,3,2,Sales Representative,4,Married,110616,0,Yes,20,3,4,0,13,3,4,5,2,1,5
381,36,No,Non-Travel,Research & Development,22,4,Medical,2,Female,3,1,Manufacturing Director,2,Married,74283,5,No,24,3,2,2,18,4,3,12,5,1,12
382,35,No,Travel_Frequently,Research & Development,16,1,Technical Degree,4,Female,4,3,Manager,4,Married,107730,2,No,14,3,2,0,17,1,3,13,2,3,8
383,42,No,Travel_Rarely,Human Resources,16,3,Marketing,4,Female,2,2,Manager,2,Married,45894,9,No,12,3,1,2,24,1,4,6,6,0,2
384,47,Yes,Travel_Rarely,Research & Development,4,5,Life Sciences,3,Male,2,3,Manager,4,Divorced,124212,9,Yes,23,4,4,0,29,4,3,8,0,0,1
385,31,Yes,Travel_Frequently,Sales,14,1,Medical,4,Male,2,3,Sales Representative,4,Married,122935,2,No,24,3,4,0,13,0,3,1,1,0,1
386,45,No,Travel_Rarely,Sales,28,5,Other,2,Female,3,2,Manager,3,Married,97696,6,No,25,3,3,1,27,3,4,2,0,2,2
387,31,No,Travel_Frequently,Research & Development,23,5,Marketing,4,Male,4,1,Research Director,2,Married,76478,2,No,11,4,1,2,13,4,2,9,5,2,5
388,40,Yes,Non-Travel,Research & Development,21,4,Other,2,Female,4,4,Manager,1,Married,146052,3,No,20,3,4,1,22,4,3,0,0,0,0
389,30,No,Non-Travel,Sales,6,1,Life Sciences,4,Female,3,2,Sales Executive,4,Divorced,87832,4,No,16,3,3,0,12,4,3,3,0,3,3
390,19,No,Non-Travel,Sales,15,3,Medical,2,Male,4,3,Sales Representative,4,Divorced,113199,7,No,20,3,2,1,1,2,3,0,0,0,0
391,22,No,Travel_Rarely,Research & Development,7,3,Technical Degree,4,Male,4,2,Research Director,2,Single,78559,3,No,16,3,4,2,4,0,4,1,1,1,1
392,44,No,Travel_Frequently,Sales,21,4,Technical Degree,3,Female,3,4,Sales Executive,3,Divorced,127092,6,No,15,3,3,2,26,6,3,2,2,0,2
393,37,No,Travel_Rarely,Sales,12,1,Human Resources,4,Male,3,2,Manager,3,Married,94160,0,No,13,4,3,0,19,5,3,3,3,0,3
394,18,No,Non-Travel,Sales,6,4,Life Sciences,3,Male,2,2,Sales Executive,4,Single,92757,0,No,25,3,4,0,0,2,3,6,3,0,4
395,44,No,Travel_Frequently,Research & Development,22,4,Medical,4,Female,3,2,Research Director,4,Divorced,75396,8,No,18,3,4,0,26,5,3,12,6,1,2
396,40,Yes,Travel_Rarely,Research & Development,26,3,Human Resources,1,Male,3,4,Manufacturing Director,2,Divorced,122365,2,Yes,11,3,3,1,22,5,3,2,2,0,0
397,32,No,Non-Travel,Human Resources,29,5,Technical Degree,1,Male,4,3,Human Resources,3,Single,112285,3,Yes,24,3,3,1,14,1,3,9,1,0,2
398,34,Yes,Travel_Frequently,Sales,25,1,Medical,4,Female,2,2,Sales Executive,3,Married,92327,2,Yes,13,3,2,1,16,2,3,12,0,0,5
399,31,No,Non-Travel,Human Resources,20,5,Medical,1,Male,3,3,Human Resources,2,Married,105444,1,No,14,3,4,2,13,0,2,3,1,3,1
400,39,No,Travel_Frequently,Sales,18,2,Marketing,3,Female,4,2,Sales Executive,3,Divorced,92903,9,Yes,12,3,2,1,21,5,3,3,3,0,3
401,39,No,Travel_Frequently,Research & Development,6,1,Life Sciences,2,Female,3,2,Laboratory Technician,2,Married,81258,7,Yes,20,3,4,1,21,6,4,4,1,2,4
402,45,No,Non-Travel,Research & Development,9,4,Medical,1,Male,3,2,Healthcare Representative,3,Divorced,108541,1,No,13,3,3,3,27,6,4,23,5,6,4
403,31,No,Travel_Rarely,Research & Development,21,1,Human Resources,2,Female,3,5,Healthcare Representative,4,Married,145258,5,No,25,3,3,3,13,0,3,10,4,0,1
404,37,No,Travel_Frequently,Research & Development,27,4,Human Resources,4,Female,1,3,Manager,3,Married,119018,7,No,12,3,1,0,19,5,3,3,2,0,1
405,32,No,Travel_Rarely,Research & Development,21,3,Other,3,Male,3,2,Research Scientist,4,Single,87783,5,No,12,3,1,3,14,1,2,10,2,3,7
406,42,No,Travel_Rarely,Sales,22,5,Human Resources,3,Male,3,1,Sales Representative,4,Single,52917,3,Yes,22,3,2,1,24,5,2,4,4,0,4
407,23,Yes,Non-Travel,Sales,15,1,Technical Degree,2,Male,4,4,Manager,4,Divorced,142268,9,No,21,3,1,3,5,2,4,1,1,1,1
408,26,No,Travel_Rarely,Human Resources,1,4,Medical,3,Female,4,1,Manager,3,Married,94640,4,Yes,19,3,4,2,8,3,3,8,0,4,1
409,32,No,Travel_Rarely,Human Resources,21,3,Marketing,2,Female,3,5,Human Resources,4,Single,147558,6,Yes,11,3,1,1,14,6,3,0,0,0,0
410,34,No,Travel_Frequently,Research & Development,28,1,Medical,3,Male,3,5,Healthcare Representative,4,Single,135084,0,Yes,17,3,3,0,16,0,4,4,2,1,3
411,36,No,Travel_Rarely,Research & Development,26,4,Human Resources,3,Male,3,2,Research Scientist,2,Divorced,86056,9,No,18,3,4,0,18,0,1,23,2,2,1
412,43,Yes,Travel_Frequently,Research & Development,14,4,Other,1,Female,4,2,Manufacturing Director,1,Divorced,100772,2,No,19,3,3,0,25,5,4,5,5,0,0
413,43,Yes,Non-Travel,Sales,12,1,Human Resources,4,Female,3,2,Sales Executive,3,Divorced,98877,7,Yes,20,3,3,1,25,2,3,0,0,0,0
414,37,Yes,Travel_Frequently,Research & Development,19,5,Marketing,2,Male,3,2,Research Director,2,Divorced,113235,7,No,22,3,4,1,19,4,4,2,1,0,1
415,38,Yes,Travel_Rarely,Research & Development,13,2,Life Sciences,2,Female,3,1,Research Scientist,1,Married,70763,5,No,22,3,3,0,20,6,2,13,0,4,6
416,34,Yes,Travel_Rarely,Sales,18,2,Medical,4,Female,2,1,Sales Representative,3,Single,92347,4,Yes,13,3,1,0,16,5,1,3,1,0,1
417,36,No,Travel_Rarely,Sales,29,4,Other,2,Male,3,2,Manager,4,Single,65352,2,No,23,4,3,0,18,4,4,9,2,0,9
418,37,No,Travel_Rarely,Research & Development,8,1,Other,3,Female,4,3,Laboratory Technician,2,Married,113460,8,No,23,3,4,2,19,2,3,23,0,0,1
419,33,No,Travel_Frequently,Research & Development,11,3,Human Resources,3,Male,4,3,Laboratory Technician,4,Divorced,105234,5,No,19,3,3,2,15,3,2,6,6,1,0
420,41,No,Travel_Frequently,Sales,3,2,Life Sciences,3,Male,3,1,Sales Representative,4,Married,87102,2,No,16,3,2,1,23,6,2,3,3,0,1
421,34,Yes,Non-Travel,Sales,29,1,Marketing,3,Female,3,2,Manager,3,Divorced,96995,3,Yes,21,3,3,1,16,2,4,4,4,2,0
422,29,No,Travel_Frequently,Sales,5,5,Marketing,3,Male,3,1,Sales Executive,3,Single,101343,4,No,22,3,4,0,11,1,3,1,1,1,1
423,55,Yes,Travel_Frequently,Human Resources,18,4,Other,4,Male,3,2,Manager,3,Married,90101,7,No,19,3,3,2,37,1,2,0,0,0,0
424,18,No,Travel_Frequently,Sales,12,3,Medical,3,Female,2,1,Manager,3,Married,93001,0,No,23,3,3,1,0,3,3,0,0,0,0
425,33,No,Non-Travel,Research & Development,13,2,Technical Degree,4,Female,4,2,Research Director,1,Single,98828,9,Yes,20,4,2,0,15,4,4,22,0,6,21
426,22,Yes,Travel_Rarely,Sales,10,5,Life Sciences,3,Female,3,1,Sales Representative,1,Married,76932,1,Yes,15,3,4,0,4,3,1,4,3,0,3
427,40,No,Non-Travel,Sales,27,4,Medical,3,Female,4,1,Sales Representative,1,Divorced,70287,2,No,14,3,1,3,22,6,3,9,0,1,5
428,43,No,Travel_Frequently,Research & Development,2,1,Marketing,2,Female,4,1,Manager,1,Divorced,50600,9,No,18,3,3,0,25,3,1,7,0,1,5
429,34,No,Non-Travel,Research & Development,8,2,Marketing,3,Male,3,2,Manufacturing Director,2,Divorced,89989,1,No,22,4,3,0,16,3,3,0,0,0,0
430,25,No,Travel_Rarely,Research & Development,7,5,Life Sciences,4,Male,4,4,Manager,3,Married,139067,5,No,18,3,3,0,7,3,2,2,2,2,0
431,33,Yes,Travel_Rarely,Research & Development,18,2,Other,3,Female,4,3,Manufacturing Director,4,Married,109008,7,Yes,18,3,2,1,15,3,1,4,4,0,1
432,43,No,Non-Travel,Sales,2,5,Medical,4,Male,1,1,Sales Executive,1,Married,67281,7,Yes,13,3,4,0,25,2,2,34,0,2,1
433,49,Yes,Travel_Rarely,Research & Development,14,1,Life Sciences,1,Male,4,2,Manager,2,Married,80993,5,No,14,3,4,1,31,1,1,17,12,1,1
434,30,No,Travel_Rarely,Human Resources,7,1,Marketing,3,Male,3,3,Human Resources,1,Married,121859,8,No,17,3,3,0,12,3,4,5,1,2,1
435,37,No,Travel_Rarely,Sales,26,5,Medical,2,Female,4,1,Sales Executive,3,Married,55690,9,No,12,3,1,1,19,3,3,1,0,0,0
436,33,Yes,Non-Travel,Research & Development,21,2,Human Resources,4,Male,3,2,Manager,3,Divorced,100294,9,Yes,18,3,4,3,15,4,3,21,3,1,3
437,51,Yes,Travel_Frequently,Research & Development,24,5,Technical Degree,2,Female,3,1,Research Scientist,3,Divorced,71565,6,Yes,21,3,2,0,33,1,1,2,1,2,2
438,35,No,Travel_Frequently,Research & Development,8,5,Technical Degree,1,Female,3,3,Research Scientist,2,Divorced,123824,3,No,21,3,3,0,17,6,4,10,2,1,0
439,25,No,Non-Travel,Sales,24,4,Marketing,4,Male,2,5,Sales Representative,1,Single,155454,3,No,19,3,2,0,7,1,4,2,2,0,0
440,18,No,Travel_Rarely,Research & Development,17,5,Other,2,Female,4,2,Healthcare Representative,4,Married,92984,6,No,18,3,3,2,0,1,4,11,7,0,4
441,43,No,Travel_Frequently,Sales,18,5,Technical Degree,4,Female,4,4,Sales Representative,4,Single,147887,7,Yes,18,3,2,0,25,2,3,1,1,1,1
442,32,No,Travel_Rarely,Sales,19,1,Technical Degree,4,Male,4,1,Sales Executive,3,Single,68777,5,No,18,3,4,0,14,3,3,0,0,0,0
443,30,No,Non-Travel,Sales,16,1,Marketing,3,Female,3,3,Sales Representative,4,Divorced,110512,6,Yes,22,3,3,1,12,3,4,25,1,0,1
444,43,Yes,Travel_Rarely,Research & Development,13,5,Life Sciences,2,Female,2,5,Healthcare Representative,1,Divorced,132768,1,Yes,22,4,4,2,25,5,3,9,7,1,1
445,47,No,Non-Travel,Research & Development,26,3,Medical,4,Female,4,2,Manager,3,Married,75282,1,No,21,3,4,0,29,0,3,11,0,0,9
446,31,No,Non-Travel,Research & Development,5,2,Technical Degree,1,Male,3,4,Research Scientist,1,Single,151335,2,No,16,3,3,3,13,1,3,6,4,0,3
447,29,No,Travel_Rarely,Research & Development,3,3,Life Sciences,4,Male,3,1,Laboratory Technician,2,Married,77837,9,No,24,3,4,0,11,0,3,10,3,6,0
448,42,Yes,Travel_Frequently,Research & Development,13,5,Human Resources,1,Female,3,3,Manufacturing Director,1,Married,87453,1,No,19,3,1,1,24,1,4,2,2,2,0
449,54,No,Travel_Rarely,Research & Development,28,4,Other,4,Female,2,5,Healthcare Representative,4,Single,196648,5,No,12,3,3,1,36,6,3,3,3,3,3
450,34,No,Travel_Rarely,Sales,2,3,Other,4,Male,2,2,Manager,3,Married,116928,5,No,21,3,3,1,16,0,3,17,4,2,7
451,44,No,Non-Travel,Research & Development,28,5,Human Resources,4,Female,4,2,Research Scientist,4,Divorced,80741,4,No,14,3,4,0,26,4,4,1,1,0,1
452,40,No,Travel_Frequently,Sales,1,2,Marketing,2,Female,3,1,Manager,3,Married,81684,1,No,17,4,2,0,22,0,3,9,3,5,2
453,27,No,Non-Travel,Research & Development,21,3,Technical Degree,3,Male,3,3,Manager,4,Divorced,104193,9,Yes,25,3,4,2,9,6,3,10,5,0,0
454,23,No,Travel_Rarely,Research & Development,11,4,Human Resources,2,Female,4,4,Research Director,2,Divorced,124644,1,No,16,3,1,0,5,4,1,8,6,1,8
455,37,Yes,Travel_Frequently,Sales,11,2,Marketing,4,Female,3,2,Sales Representative,3,Single,80095,6,Yes,19,4,3,1,19,0,4,8,7,0,6
456,18,No,Non-Travel,Sales,13,1,Marketing,4,Male,4,2,Manager,2,Single,106457,3,No,15,3,4,0,0,3,2,0,0,0,0
457,43,No,Travel_Frequently,Research & Development,14,4,Marketing,4,Male,4,5,Manager,4,Married,144119,2,No,19,3,2,0,25,0,4,7,6,0,3
458,47,Yes,Travel_Rarely,Sales,16,3,Medical,4,Female,4,1,Sales Executive,2,Single,73918,2,Yes,13,3,1,2,29,4,4,16,0,2,0
459,21,No,Travel_Frequently,Research & Development,2,1,Human Resources,2,Male,4,3,Healthcare Representative,4,Divorced,116129,1,No,18,3,3,1,3,2,4,2,1,1,1
460,31,Yes,Non-Travel,Research & Development,21,4,Marketing,3,Male,3,1,Manufacturing Director,2,Divorced,93005,1,No,18,4,4,1,13,6,3,0,0,0,0
461,26,Yes,Travel_Rarely,Sales,16,4,Marketing,2,Female,3,3,Sales Executive,4,Divorced,128537,1,No,20,3,4,0,8,6,3,0,0,0,0
462,47,No,Travel_Rarely,Human Resources,21,1,Medical,3,Female,3,4,Human Resources,1,Divorced,151727,9,No,22,3,4,0,29,4,3,1,1,1,0
463,28,Yes,Non-Travel,Sales,12,5,Medical,2,Female,3,4,Manager,1,Married,115642,0,No,12,3,2,0,10,0,2,3,3,0,2
464,34,No,Travel_Rarely,Human Resources,2,2,Medical,3,Female,3,1,Manager,3,Married,56136,1,No,24,3,4,3,16,5,4,9,4,1,1
465,23,No,Travel_Rarely,Sales,23,2,Human Resources,1,Female,4,1,Sales Representative,3,Single,60249,1,No,21,3,3,1,5,2,3,1,1,0,1
466,38,No,Non-Travel,Research & Development,8,1,Marketing,3,Male,4,3,Manager,3,Single,111040,6,Yes,11,4,2,0,20,3,3,6,0,0,6
467,32,No,Travel_Frequently,Sales,4,2,Human Resources,2,Male,1,2,Manager,2,Divorced,85925,3,No,12,3,2,1,14,3,4,6,3,2,1
468,44,No,Travel_Frequently,Sales,13,4,Human Resources,4,Female,3,2,Sales Representative,3,Single,72776,8,Yes,20,4,4,0,26,4,2,8,3,0,1
469,46,No,Travel_Frequently,Sales,15,3,Technical Degree,1,Male,4,2,Sales Executive,4,Divorced,94072,9,Yes,22,3,4,0,28,3,4,20,0,0,11
470,41,No,Travel_Rarely,Human Resources,3,3,Human Resources,3,Female,3,3,Human Resources,1,Married,115108,3,Yes,13,3,4,3,23,0,4,1,1,1,1
471,34,No,Non-Travel,Research & Development,24,3,Medical,4,Male,3,2,Manager,3,Divorced,89347,0,No,17,3,4,3,16,5,4,6,1,1,6
472,47,Yes,Travel_Frequently,Research & Development,14,4,Technical Degree,4,Male,3,3,Research Director,4,Single,104988,2,Yes,16,4,3,3,29,4,4,1,1,1,0
473,36,No,Travel_Frequently,Research & Development,15,5,Technical Degree,2,Male,3,1,Research Director,3,Single,67384,8,No,25,3,3,0,18,6,1,0,0,0,0
474,33,No,Travel_Rarely,Sales,1,2,Other,3,Male,2,2,Sales Executive,4,Married,65901,2,No,12,4,3,1,15,3,1,8,0,1,3
475,25,Yes,Travel_Frequently,Research & Development,5,4,Technical Degree,4,Female,3,1,Laboratory Technician,3,Divorced,80345,3,No,14,3,3,3,7,0,2,8,0,0,8
476,29,Yes,Travel_Rarely,Sales,27,4,Medical,3,Female,4,1,Sales Representative,3,Single,59641,6,No,22,4,2,2,11,4,3,2,1,0,2
477,43,No,Travel_Frequently,Sales,5,5,Medical,3,Male,3,1,Sales Executive,4,Single,92308,1,Yes,17,3,1,2,25,6,3,7,0,6,7
478,41,No,Travel_Frequently,Human Resources,4,2,Technical Degree,4,Female,2,1,Human Resources,4,Single,77080,9,No,21,3,3,3,23,5,4,18,3,0,3
479,44,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Director,1,Married,83309,7,Yes,19,3,3,0,26,0,3,5,0,0,5
480,46,No,Travel_Rarely,Research & Development,12,3,Marketing,4,Male,3,1,Healthcare Representative,1,Single,105458,6,No,15,4,2,1,28,1,3,2,1,2,2
481,34,No,Non-Travel,Research & Development,5,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,111798,9,Yes,12,4,3,3,16,3,3,6,1,2,2
482,54,No,Travel_Frequently,Research & Development,18,3,Human Resources,3,Female,4,5,Laboratory Technician,1,Married,138500,2,Yes,13,3,4,1,36,0,3,19,0,3,1
483,33,No,Travel_Frequently,Human Resources,23,2,Other,3,Female,3,2,Human Resources,4,Married,89318,0,Yes,11,3,3,1,15,4,1,2,2,0,2
484,32,No,Non-Travel,Human Resources,26,5,Technical Degree,4,Female,2,3,Human Resources,3,Divorced,131654,3,Yes,22,3,2,2,14,4,3,7,1,0,0
485,44,No,Travel_Rarely,Research & Development,21,2,Medical,1,Female,2,2,Healthcare Representative,2,Divorced,95100,2,No,24,3,1,0,26,2,2,11,4,0,1
486,27,Yes,Travel_Rarely,Research & Development,12,2,Other,3,Female,3,1,Healthcare Representative,4,Married,57618,0,Yes,24,3,3,0,9,5,4,5,3,0,1
487,41,No,Travel_Rarely,Research & Development,19,4,Medical,4,Male,3,3,Research Director,3,Married,118208,7,Yes,16,3,3,2,23,1,3,2,2,2,1
488,37,Yes,Travel_Rarely,Sales,6,4,Other,4,Male,4,2,Sales Representative,3,Divorced,56710,4,Yes,15,3,3,0,19,0,2,19,8,0,1
489,38,No,Travel_Frequently,Sales,2,2,Medical,4,Female,3,1,Manager,3,Single,114778,0,Yes,24,3,3,0,20,6,4,1,1,1,1
490,40,Yes,Travel_Frequently,Sales,8,1,Human Resources,4,Male,4,2,Sales Executive,4,Divorced,99102,2,No,16,3,2,1,22,2,1,4,3,0,4
491,41,No,Travel_Rarely,Research & Development,29,4,Other,3,Female,3,1,Research Scientist,4,Divorced,56219,5,No,15,3,2,1,23,5,1,1,0,0,0
492,45,No,Non-Travel,Sales,22,4,Medical,3,Female,1,1,Sales Representative,2,Divorced,83776,6,Yes,16,3,1,0,27,4,4,5,0,0,0
493,30,Yes,Travel_Frequently,Sales,5,4,Technical Degree,4,Female,2,4,Sales Executive,3,Divorced,111122,2,Yes,21,3,4,2,12,6,4,0,0,0,0
494,24,No,Non-Travel,Research & Development,5,2,Technical Degree,2,Female,3,1,Manager,2,Married,61528,6,No,23,3,3,1,6,4,4,1,1,1,1
495,22,Yes,Travel_Rarely,Research & Development,1,3,Human Resources,3,Female,3,1,Laboratory Technician,4,Married,41801,5,Yes,14,4,4,3,4,0,4,5,4,2,0
496,18,Yes,Travel_Frequently,Sales,13,1,Other,3,Female,3,2,Sales Executive,4,Married,90050,2,Yes,22,3,3,0,0,0,4,14,3,1,0
497,28,No,Non-Travel,Research & Development,17,3,Technical Degree,1,Male,4,1,Manufacturing Director,3,Married,73830,2,Yes,22,3,3,0,10,3,1,2,0,2,0
498,44,Yes,Travel_Rarely,Research & Development,19,5,Marketing,1,Male,1,1,Healthcare Representative,4,Divorced,66480,7,No,22,3,3,1,26,4,4,1,1,1,0
499,60,No,Travel_Rarely,Human Resources,11,4,Technical Degree,1,Male,4,3,Manager,3,Single,93320,1,No,22,3,4,2,42,6,3,6,4,0,0
500,39,Yes,Travel_Rarely,Sales,7,5,Medical,4,Male,3,1,Sales Executive,3,Divorced,96379,9,Yes,23,4,2,0,21,0,1,12,6,3,2
501,46,No,Travel_Rarely,Research & Development,12,2,Other,4,Female,3,1,Research Scientist,2,Divorced,60614,3,No,23,3,3,0,28,2,1,4,0,3,4
502,29,No,Travel_Rarely,Research & Development,8,2,Other,3,Male,2,1,Research Director,4,Divorced,69047,1,No,12,4,1,2,11,5,4,3,3,3,0
503,44,Yes,Non-Travel,Human Resources,20,1,Medical,3,Female,4,3,Manager,2,Divorced,76296,6,No,14,4,3,3,26,1,4,24,0,2,0
504,47,No,Non-Travel,Sales,9,4,Marketing,2,Male,3,2,Sales Representative,3,Married,82621,1,No,22,3,1,3,29,1,3,3,3,1,1
505,31,No,Non-Travel,Human Resources,14,5,Technical Degree,3,Male,3,2,Manager,2,Married,72155,9,No,16,3,4,0,13,2,3,3,0,0,2
506,45,No,Travel_Rarely,Sales,18,4,Life Sciences,3,Male,3,1,Sales Executive,1,Single,89123,1,No,18,3,4,2,27,2,3,8,0,0,4
507,35,No,Travel_Frequently,Human Resources,16,2,Other,3,Male,4,2,Manager,1,Single,89902,7,Yes,19,3,2,1,17,0,3,11,5,1,0
508,41,No,Travel_Frequently,Research & Development,3,3,Technical Degree,2,Female,4,3,Research Scientist,4,Single,131837,4,No,13,3,1,2,23,5,2,10,5,3,2
509,40,No,Travel_Frequently,Research & Development,26,2,Other,4,Female,3,1,Laboratory Technician,1,Married,57083,6,Yes,18,3,4,3,22,3,3,6,5,0,0
510,39,No,Non-Travel,Research & Development,5,4,Marketing,3,Male,4,1,Research Director,3,Single,76947,5,No,13,4,4,1,21,0,3,16,5,1,4
511,38,No,Travel_Rarely,Sales,7,2,Other,3,Male,2,3,Sales Representative,3,Divorced,124119,2,No,17,3,4,0,20,4,1,7,0,1,5
512,29,No,Non-Travel,Sales,14,3,Medical,3,Male,3,3,Sales Representative,3,Divorced,100218,5,No,25,3,3,0,11,0,3,2,1,0,2
513,37,Yes,Non-Travel,Sales,14,1,Technical Degree,4,Female,2,3,Manager,4,Divorced,123534,1,No,11,3,1,3,19,5,4,1,0,1,1
514,41,No,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Male,2,3,Research Director,4,Married,125458,1,No,23,4,3,1,23,2,4,11,1,2,1
515,38,Yes,Travel_Rarely,Research & Development,11,2,Human Resources,4,Female,4,3,Healthcare Representative,1,Married,118298,8,No,22,3,1,1,20,6,1,2,1,0,2
